date,close,high,low,open,volume,symbol,Ticker
2021-11-08,148.14254760742188,149.71710412205854,147.54561794204096,148.93180526561258,23052000,TOP10,GOOGL
2021-11-08,152.94964599609375,154.63240027868028,152.66014715641663,152.94060390272728,6413700,TOP10,JPM
2021-11-08,336.7724304199219,342.9087792703864,336.4939593586197,342.54080290556595,18342500,TOP10,META
2021-11-08,326.07952880859375,326.71816404818316,323.612099976596,326.3794898186159,20897000,TOP10,MSFT
2021-11-08,30.74411964416504,31.039543765044662,29.84886209668346,30.09039224127467,503101000,TOP10,NVDA
2021-11-08,387.6466674804687,399.0,377.6666564941406,383.2633361816406,100337100,TOP10,TSLA
2021-11-08,213.99110412597656,215.0780875981144,211.72006393020405,211.9335806563796,13500100,TOP10,V
2021-11-09,147.85455322265625,148.46239820996468,147.11925107616622,147.25650687845393,56787900,TOP10,AAPL
2021-11-09,178.81149291992188,179.68850708007812,175.07150268554688,175.7624969482422,85898000,TOP10,AMZN
2021-11-09,286.3500061035156,288.989990234375,285.29998779296875,288.7900085449219,3587200,TOP10,BRK-B
2021-11-09,148.03073120117188,148.94127086840126,146.36720005887236,148.34335523011134,19530000,TOP10,GOOGL
2021-11-09,151.79165649414062,152.41590619212656,150.7241094431754,151.402639322773,7990300,TOP10,JPM
2021-11-09,333.5401611328125,339.44775394159564,332.6450777514055,338.1449039456553,17556700,TOP10,META
2021-11-09,325.0732421875,327.7535496046141,323.6992033360922,326.19565986049247,21307400,TOP10,MSFT
2021-11-09,30.597414016723633,32.24720299393067,29.905762057421065,32.219257537136286,646746000,TOP10,NVDA
2021-11-09,341.1666564941406,391.5,337.17333984375,391.2000122070313,177317400,TOP10,TSLA
2021-11-09,207.1003875732422,213.9134791415015,206.64423950985625,213.21469975967796,11535000,TOP10,V
2021-11-10,145.02117919921875,147.18787595185904,144.9525587828528,147.08003104634736,65187100,TOP10,AAPL
2021-11-10,174.1024932861328,180.2725067138672,173.1544952392578,178.19349670410156,80548000,TOP10,AMZN
2021-11-10,285.32000732421875,287.239990234375,284.5199890136719,286.489990234375,3421700,TOP10,BRK-B
2021-11-10,145.0237274169922,147.187265471825,143.67582379401986,146.6206563328995,29970000,TOP10,GOOGL
2021-11-10,151.64688110351562,152.85014226218826,151.16738781983636,151.49308267334715,6999200,TOP10,JPM
2021-11-10,325.85235595703125,331.37206208881173,323.73397273693166,330.67586926540287,21872600,TOP10,META
2021-11-10,320.0899353027344,323.7959509246688,319.23845117930625,323.7378958601063,25500900,TOP10,MSFT
2021-11-10,29.401735305786133,30.790032135341345,28.72205932174095,29.298936787932604,636206000,TOP10,NVDA
